r,z,vgr,u,v,w
340500.0,2260.558450700762,2.9368575624082234,0.0,2.9368575624082234,0.0
340887.2983346207,2260.558450700762,2.9335208583171766,0.0,2.9335208583171766,0.0
341112.7016653793,2260.558450700762,2.931582421638958,0.0,2.931582421638958,0.0
341500.0,2260.558450700762,2.9282576866764276,0.0,2.9282576866764276,0.0
341887.2983346207,2260.558450700762,2.924940484396862,0.0,2.924940484396862,0.0
342112.7016653793,2260.558450700762,2.9230133670339455,0.0,2.9230133670339455,0.0
342500.0,2260.558450700762,2.9197080291970803,0.0,2.9197080291970803,0.0
342887.2983346207,2260.558450700762,2.9164101582558732,0.0,2.9164101582558732,0.0
343112.7016653793,2260.558450700762,2.9144942613498763,0.0,2.9144942613498763,0.0
343500.0,2260.558450700762,2.911208151382824,0.0,2.911208151382824,0.0
343887.2983346207,2260.558450700762,2.9079294432879768,0.0,2.9079294432879768,0.0
344112.7016653793,2260.558450700762,2.90602466912836,0.0,2.90602466912836,0.0
344500.0,2260.558450700762,2.9027576197387517,0.0,2.9027576197387517,0.0
344887.2983346207,2260.558450700762,2.899497907950695,0.0,2.899497907950695,0.0
345112.7016653793,2260.558450700762,2.897604159958153,0.0,2.897604159958153,0.0
345500.0,2260.558450700762,2.894356005788712,0.0,2.894356005788712,0.0
345887.2983346207,2260.558450700762,2.891115125692106,0.0,2.891115125692106,0.0
346112.7016653793,2260.558450700762,2.8892323084022413,0.0,2.8892323084022413,0.0
346500.0,2260.558450700762,2.886002886002886,0.0,2.886002886002886,0.0
346887.2983346207,2260.558450700762,2.882780674878911,0.0,2.882780674878911,0.0
347112.7016653793,2260.558450700762,2.8809086939261928,0.0,2.8809086939261928,0.0
347500.0,2260.558450700762,2.8776978417266186,0.0,2.8776978417266186,0.0
347887.2983346207,2260.558450700762,2.8744941387257397,0.0,2.8744941387257397,0.0
348112.7016653793,2260.558450700762,2.87263290082774,0.0,2.87263290082774,0.0
348500.0,2260.558450700762,2.8694404591104736,0.0,2.8694404591104736,0.0
348887.2983346207,2260.558450700762,2.8662551052256755,0.0,2.8662551052256755,0.0
349112.7016653793,2260.558450700762,2.864404518167572,0.0,2.864404518167572,0.0
349500.0,2260.558450700762,2.8612303290414878,0.0,2.8612303290414878,0.0
349887.2983346207,2260.558450700762,2.8580631670819696,0.0,2.8580631670819696,0.0
350112.7016653793,2260.558450700762,2.8562231397013167,0.0,2.8562231397013167,0.0
350500.0,2260.558450700762,2.8530670470756063,0.0,2.8530670470756063,0.0
350887.2983346207,2260.558450700762,2.849917921640921,0.0,2.849917921640921,0.0
351112.7016653793,2260.558450700762,2.8480883638126806,0.0,2.8480883638126806,0.0
351500.0,2260.558450700762,2.844950213371266,0.0,2.844950213371266,0.0
351887.2983346207,2260.558450700762,2.841818970825905,0.0,2.841818970825905,0.0
352112.7016653793,2260.558450700762,2.8399997934477317,0.0,2.8399997934477317,0.0
352500.0,2260.558450700762,2.8368794326241136,0.0,2.8368794326241136,0.0
352887.2983346207,2260.558450700762,2.833765921072521,0.0,2.833765921072521,0.0
353112.7016653793,2260.558450700762,2.831957036050296,0.0,2.831957036050296,0.0
353500.0,2260.558450700762,2.828854314002829,0.0,2.828854314002829,0.0
353887.2983346207,2260.558450700762,2.8257583832648403,0.0,2.8257583832648403,0.0
354112.7016653793,2260.558450700762,2.8239597034984514,0.0,2.8239597034984514,0.0
354500.0,2260.558450700762,2.8208744710860367,0.0,2.8208744710860367,0.0
354887.2983346207,2260.558450700762,2.81779597267273,0.0,2.81779597267273,0.0
355112.7016653793,2260.558450700762,2.8160074120420915,0.0,2.8160074120420915,0.0
355500.0,2260.558450700762,2.8129395218002813,0.0,2.8129395218002813,0.0
355887.2983346207,2260.558450700762,2.809878308890239,0.0,2.809878308890239,0.0
356112.7016653793,2260.558450700762,2.8080997822415457,0.0,2.8080997822415457,0.0
356500.0,2260.558450700762,2.805049088359046,0.0,2.805049088359046,0.0
