r,vgr,u,v,w
117112.70166537925,8.538783460544307,0.0,8.538783460544307,0.0
117500.0,8.51063829787234,0.0,8.51063829787234,0.0
117887.29833462075,8.482678067331053,0.0,8.482678067331053,0.0
118112.70166537925,8.466489936307301,0.0,8.466489936307301,0.0
118500.0,8.438818565400844,0.0,8.438818565400844,0.0
118887.29833462075,8.411327484163996,0.0,8.411327484163996,0.0
119112.70166537925,8.39541027966336,0.0,8.39541027966336,0.0
119500.0,8.368200836820083,0.0,8.368200836820083,0.0
119887.29833462075,8.341167195284294,0.0,8.341167195284294,0.0
120112.70166537925,8.325514172396936,0.0,8.325514172396936,0.0
120500.0,8.298755186721992,0.0,8.298755186721992,0.0
120887.29833462075,8.272167661750212,0.0,8.272167661750212,0.0
121112.70166537925,8.256772297614889,0.0,8.256772297614889,0.0
121500.0,8.23045267489712,0.0,8.23045267489712,0.0
121887.29833462075,8.20430031400541,0.0,8.20430031400541,0.0
122112.70166537925,8.189156298746559,0.0,8.189156298746559,0.0
122500.0,8.16326530612245,0.0,8.16326530612245,0.0
122887.29833462075,8.137537512436893,0.0,8.137537512436893,0.0
123112.70166537925,8.122638740542007,0.0,8.122638740542007,0.0
123500.0,8.097165991902834,0.0,8.097165991902834,0.0
123887.29833462075,8.071852509843186,0.0,8.071852509843186,0.0
124112.70166537925,8.057193071955712,0.0,8.057193071955712,0.0
124500.0,8.032128514056225,0.0,8.032128514056225,0.0
124887.29833462075,8.007219415705658,0.0,8.007219415705658,0.0
125112.70166537925,7.9927935908102645,0.0,7.9927935908102645,0.0
125500.0,7.968127490039841,0.0,7.968127490039841,0.0
125887.29833462075,7.943613162162732,0.0,7.943613162162732,0.0
126112.70166537925,7.929415410141216,0.0,7.929415410141216,0.0
126500.0,7.905138339920948,0.0,7.905138339920948,0.0
126887.29833462075,7.881009471593057,0.0,7.881009471593057,0.0
127112.70166537925,7.8670344261305445,0.0,7.8670344261305445,0.0
127500.0,7.8431372549019605,0.0,7.8431372549019605,0.0
127887.29833462075,7.81938482571953,0.0,7.81938482571953,0.0
128112.70166537925,7.805627287541909,0.0,7.805627287541909,0.0
128500.0,7.782101167315175,0.0,7.782101167315175,0.0
128887.29833462075,7.758716436151626,0.0,7.758716436151626,0.0
129112.70166537925,7.7451713665762725,0.0,7.7451713665762725,0.0
129500.0,7.722007722007722,0.0,7.722007722007722,0.0
129887.29833462075,7.698982216288469,0.0,7.698982216288469,0.0
130112.70166537925,7.6856447310715,0.0,7.6856447310715,0.0
130500.0,7.662835249042145,0.0,7.662835249042145,0.0
